Name,Parent,Orbit_Radius,Equatorial radius,Rotation period[d],Orbital period[d],Mean orbital speedkps,Eccentricity,Inclination[f],Axial tilt[i],Rings?,Mass(1E24),Texture
Sun,-1,0,1390000,648,648,0,0,0,0,No,1990000,4k_sun.jpg
Mercury,Sun,57909175,2440.53,58.646225,87.969,47.8725,0.20563069,7,0,No,0.3302,4k_mercury.jpg
Venus,Sun,108208930,6051.8,243.0187,224.701,35.0214,0.00677323,3.39,177.3,No,4.869,4k_venus_surface.jpg
Earth,Sun,149597890,6378.136,0.99726968,365.25636,29.7859,0.01671022,0,23.44,No,5.972,4k_earth_daymap.jpg
Mars,Sun,227936640,3396.19,1.02595675,686.97,24.1309,0.09341233,1.85,25.19,No,0.64191,4k_mars.jpg
Jupiter,Sun,778412010,71492,0.41354,4332.59,13.0697,0.04839266,1.31,3.12,Yes,1898.7,4k_jupiter.jpg
Saturn,Sun,1426725400,60268,0.44401,10759.22,9.6724,0.0541506,2.48,26.73,Yes,568.51,4k_saturn.jpg
Uranus,Sun,2870972200,25559,0.71833,30688.5,6.8352,0.04716771,0.76,97.86,Yes,86.849,4k_uranus.jpg
Neptune,Sun,4498252900,24764,0.67125,60182,5.4778,0.00858587,1.77,28.32,Yes,102.44,4k_neptune.jpg
Ceres,Sun,413700000,473,0.3781,1679.7502575,17.882,0.08,10.59,4,No,0.000939,4k_ceres_fictional.jpg
Pluto,Sun,5906380000,1188.3,6.3872,90543.61575,4.75,0.249,17.14,119.6,No,0.013,4k_pluto.jpg
Haumea,Sun,6484000000,816,0.1631,103655.8215,4.48,0.195,28.21,126,Yes,0.00401,4k_haumea_fictional.jpg
Makemake,Sun,6850000000,715,0.9511,111837.2535,4.4,0.161,28.98,?,?,0.0031,4k_makemake_fictional.jpg
Eris,Sun,10210000000,1163,15.7859,204170.5575,3.44,0.436,44.04,78,?,0.0165,4k_eris_fictional.jpg
Orcus,Sun,5896946000,458.5,9.54,90393.866325,4.68,0.226,20.59,?,?,0.000548,4k_eris_fictional.jpg
Salacia,Sun,6310600000,423,1,100069.14015,4.57,0.106,23.92,?,?,0.00049,4k_eris_fictional.jpg
Quaoar,Sun,6535930000,555,0.7367,105178.882725,4.52,0.038,7.99,13.6,Yes,0.0012,4k_eris_fictional.jpg
Gonggong,Sun,10072433340,615,0.9333,201803.7861,3.63,0.506,30.74,?,?,0.00175,4k_eris_fictional.jpg
Sedna,Sun,78668000000,497.5,0.428,4404459.3075,1.04,0.855,11.93,?,?,0.001,4k_eris_fictional.jpg
Moon,Earth,384399,1738,27.321582,27.32,1.022,0.0549,18.29,6.68,No,0.07347,4k_moon.jpg
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Output from GodotPlanets,,,,,,,,,,
,,,,,,,,,,,,
,,R,M,V,File,,R ratio,M ratio,,,,
Sun,,0,50000,0,4k_sun.jpg,,,39.8,,,,
Mercury,,5.0005521774292,151.060690906137,81.6700744628906,4k_mercury.jpg,,11580556.0956613,0.00218587640516733,,,,
Venus,,7.00002574920654,115.065979298034,69.0238037109375,4k_venus_clouds.jpg,,15458361.7084931,0.0423148530061065,,,,
Earth,,11.0001993179321,170.155614182846,55.0619468688965,4k_earth_daymap.jpg,,13599561.7603157,0.035097284498545,,,,
Mars,,19.0000629425049,56.4279450387236,41.8958625793457,4k_mars.jpg,,11996625.5211758,0.0113757465305442,,,,
Jupiter,,35.0001029968262,62.5072075525336,30.8683834075928,4k_jupiter.jpg,,22240277.6949138,30.3756970490844,,,,
Saturn,,67.0000305175781,116.590193809607,22.3105640411377,4k_saturn.jpg,,21294399.255918,4.87613907674245,,,,
Uranus,,131.000015258789,105.162114107866,15.9555683135986,4k_uranus.jpg,,21915815.7678717,0.825858254531836,,,,
Neptune,,259,66.5234167502906,11.3474435806274,4k_neptune.jpg,,17367771.8146718,1.53990887726843,,,,
Ceres,,2051,164.424604136147,4.03241395950317,4k_ceres_fictional.jpg,,201706.484641638,5.71082414905794E-06,,,,
Pluto,,515,177.618158093067,8.04719066619873,4k_pluto.jpg,,11468699.0291262,7.31907150686044E-05,,,,
Haumea,,16387,147.690791718435,1.42658674716949,4k_haumea_fictional.jpg,,395679.502044303,2.71513203588539E-05,,,,
Makemake,,8195,126.328730834964,2.01731371879578,4k_makemake_fictional.jpg,,835875.533862111,2.45391525705253E-05,,,,
Eris,,4099,69.7402632190169,2.85239052772522,4k_eris_fictional.jpg,,2490851.42717736,0.000236592166969349,,,,
,,,,,,,,,,,,
,,1027,117.257242624809,5.69852781295776,4k_moon.jpg,,,,,,,
